Date,medtecs,sti,topglove
2019-02-28,0.029,3.29,1.52
2019-03-01,0.029,3.3,1.51
2019-03-04,0.028,3.33,1.49
2019-03-05,0.028,3.3,1.55
2019-03-06,0.028,3.31,1.55
2019-03-07,0.028,3.28,1.54
2019-03-08,0.029,3.27,1.5
2019-03-11,0.029,3.27,1.52
2019-03-12,0.028,3.28,1.49
2019-03-13,0.028,3.25,1.46
2019-03-14,0.028,3.28,1.46
2019-03-15,0.031,3.28,1.5
2019-03-18,0.031,3.3,1.5
2019-03-19,0.031,3.29,1.5
2019-03-20,0.031,3.28,1.5
2019-03-21,0.031,3.28,1.5
2019-03-22,0.031,3.29,1.5
2019-03-25,0.031,3.24,1.48
2019-03-26,0.029,3.27,1.49
2019-03-27,0.028,3.28,1.49
2019-03-28,0.028,3.29,1.49
2019-03-29,0.028,3.29,1.54
2019-04-01,0.028,3.34,1.54
2019-04-02,0.028,3.36,1.52
2019-04-03,0.027,3.39,1.52
2019-04-04,0.027,3.39,1.52
2019-04-05,0.027,3.4,1.51
2019-04-08,0.027,3.39,1.51
2019-04-09,0.027,3.4,1.52
2019-04-10,0.027,3.41,1.52
2019-04-11,0.027,3.41,1.51
2019-04-12,0.027,3.41,1.49
2019-04-15,0.027,3.4,1.5
2019-04-16,0.027,3.41,1.48
2019-04-17,0.027,3.42,1.46
2019-04-18,0.027,3.42,1.48
2019-04-22,0.026,3.44,1.48
2019-04-23,0.026,3.42,1.56
2019-04-24,0.026,3.44,1.57
2019-04-25,0.026,3.44,1.6
2019-04-26,0.026,3.44,1.6
2019-04-29,0.026,3.51,1.6
2019-04-30,0.029,3.48,1.58
2019-05-02,0.029,3.49,1.57
2019-05-03,0.027,3.52,1.57
2019-05-06,0.027,3.41,1.57
2019-05-07,0.027,3.44,1.59
2019-05-08,0.027,3.4,1.59
2019-05-09,0.03,3.38,1.59
2019-05-10,0.028,3.39,1.58
2019-05-13,0.028,3.35,1.58
2019-05-14,0.028,3.34,1.56
2019-05-15,0.025,3.34,1.61
2019-05-16,0.025,3.35,1.62
2019-05-17,0.025,3.34,1.63
2019-05-21,0.025,3.31,1.65
2019-05-22,0.025,3.32,1.65
2019-05-23,0.025,3.29,1.65
2019-05-24,0.025,3.3,1.65
2019-05-27,0.025,3.29,1.64
